PostCodes,Posttown,GDescription
ME3,Kent,Group 3
NG18,Nottinghamshire,Group 1
N22,Greater London,Group 3
DN22,Nottinghamshire,Group 1
WS12,Staffordshire,Group 2
B98,Worcestershire,Group 2
M2,Greater Manchester,Group 2
CF95,Cardiff,Group 2
ST6,Staffordshire,Group 2
EH39,East Lothian,Group 1
GY6,Guernsey,Unallocated
IP26,Norfolk,Group 3
CO1,Greater London,Group 3
SW7,Greater London,Group 3
B44,West Midlands,Group 2
WS4,West Midlands,Group 2
HP14,Buckinghamshire,Group 3
IV36,Moray,Group 1
BA22,Dorset,Group 2
TR27,Cornwall,Group 2
BD4,West Yorkshire,Group 1
PA1,Renfrewshire,Group 1
SK15,Greater Manchester,Group 2
KT19,Surrey,Group 2
TA6,Somerset,Group 2
PE5,Cambridgeshire,Group 1
TQ4,Devon,Group 2
TQ12,Devon,Group 2
WA4,Cheshire,Group 2
TS90,North Yorkshire,Group 1
NW1W,Greater London,Group 3
YO90,North Yorkshire,Group 1
PL22,Cornwall,Group 2
BL78,Lancashire,Group 2
NR6,Norfolk,Group 3
PH22,Highland,Group 1
WF4,West Yorkshire,Group 1
DT2,Dorset,Group 2
M21,Greater Manchester,Group 2
KW13,Highland,Unallocated
HX1,West Yorkshire,Group 1
EH6,City of Edinburgh,Group 1
NP22,Blaenau Gwent,Group 2
HR5,Herefordshire,Group 2
TS25,Durham,Group 1
W6,Greater London,Group 3
N7,Greater London,Group 3
CT11,Kent,Group 3
RH16,West Sussex,Group 3
PA14,Renfrewshire,Group 1
CM2,Greater London,Group 3
G55,Glasgow City,Group 1
SG10,Hertfordshire,Group 3
SL1,Berkshire,Group 2
SK22,Derbyshire,Group 2
SN9,Wiltshire,Group 2
NR27,Norfolk,Group 3
SA68,Pembrokeshire,Group 2
BT10,Belfast,Unallocated
PH43,Highland,Group 1
PA43,Argyll and Bute,Group 1
LS9,West Yorkshire,Group 1
PH33,Highland,Group 1
EH32,Scottish Borders,Group 1
CA9,Cumbria,Group 1
B80,Warwickshire,Group 2
RM11,Greater London,Group 3
KW17,Orkney Islands,Unallocated
SA34,Carmarthenshire,Group 2
DH97,Durham,Group 1
PO12,Hampshire,Group 2
IV44,Highland,Group 1
EX12,Devon,Group 2
IV48,Highland,Group 1
WA88,Cheshire,Group 2
PA38,Argyll and Bute,Group 1
CB11,Greater London,Group 3
GU25,Surrey,Group 2
LS2,West Yorkshire,Group 1
DT5,Dorset,Group 2
DN33,Lincolnshire,Group 1
TQ5,Devon,Group 2
RG7,Berkshire,Group 2
CB24,Cambridgeshire,Group 3
L70,Merseyside,Group 2
IV45,Highland,Group 1
LS99,West Yorkshire,Group 1
DG2,Dumfries and Galloway,Group 1
TS18,Durham,Group 1
TS29,Durham,Group 1
L8,Merseyside,Group 2
BT45,Magherafelt,Unallocated
B33,West Midlands,Group 2
Ashford,,Unallocated
TF11,Shropshire,Group 2
EX37,Devon,Group 2
WD99,Hertfordshire,Group 3
G5,Glasgow City,Group 1
LA8,Cumbria,Group 1
BT53,Ballymoney,Unallocated
PA63,Argyll and Bute,Group 1
EC3N,Greater London,Group 3
RH1,,Group 3
EH27,West Lothian,Group 1
TS6,North Yorkshire,Group 1
GL10,Gloucestershire,Group 2
HU15,East Riding of Yorkshire,Group 1
PA70,Argyll and Bute,Group 1
CF99,Cardiff,Group 2
BT19,North Down,Unallocated
IP20,Norfolk,Group 3
S65,South Yorkshire,Group 1
G62,East Dunbartonshire,Group 1
B5,West Midlands,Group 2
DN41,Lincolnshire,Group 1
CW5,Cheshire,Group 2
EX33,Devon,Group 2
AB25,Aberdeen City,Group 1
HU5,East Riding of Yorkshire,Group 1
PH3,Perth and Kinross,Group 1
NG9,Nottinghamshire,Group 1
LD7,Shropshire,Group 2
RM3,Greater London,Group 3
HR3,Herefordshire,Group 2
DD5,Angus,Group 1
LE41,Leicestershire,Group 2
EC1Y,Greater London,Group 3
AB45,Aberdeenshire,Group 1
RG42,Berkshire,Group 2
EX21,Devon,Group 2
CA5,Cumbria,Group 1
EX10,Devon,Group 2
GL16,Gloucestershire,Group 2
SA18,Carmarthenshire,Group 2
RH9,Surrey,Group 3
KY2,Fife,Group 1
PA5,Renfrewshire,Group 1
L11,Merseyside,Group 2
LL57,Gwynedd,Group 2
B3,West Midlands,Group 2
L12,Merseyside,Group 2
BA21,Somerset,Group 2
PO30,Isle of Wight,Group 2
BT60,Armagh,Unallocated
GU7,Surrey,Group 2
OL13,Lancashire,Group 1
BS10,City of Bristol,Group 2
NP,,Group 2
SW99,Greater London,Group 3
SE18,Greater London,Group 3
NE64,Northumberland,Group 1
LL56,Gwynedd,Group 2
GL20,Gloucestershire,Group 2
GL52,Gloucestershire,Group 2
AB99,Aberdeen City,Group 1
HA7,Greater London,Group 3
CB6,Cambridgeshire,Group 3
BN25,East Sussex,Group 3
SY25,Ceredigion,Group 2
GU3,Surrey,Group 2
NP19,Newport,Group 2
DY7,Staffordshire,Group 2
TF3,Shropshire,Group 2
IV53,Highland,Group 1
L67,Merseyside,Group 2
L3,Merseyside,Group 2
BB9,Lancashire,Group 1
TS8,North Yorkshire,Group 1
TW20,Surrey,Group 3
BT9,Belfast,Unallocated
LS23,West Yorkshire,Group 1
CR0,Greater London,Group 3
CO13,Greater London,Group 3
HA9,Greater London,Group 3
TR22,Cornwall,Group 2
E18,Greater London,Group 3
M26,Greater Manchester,Group 2
BN24,East Sussex,Group 3
NE32,Tyne and Wear,Group 1
CH7,Denbighshire,Group 2
IM9,NULL,Unallocated
CB10,Cambridgeshire,Group 3
SO50,Hampshire,Group 2
OL12,Lancashire,Group 1
PH49,Highland,Group 1
WR15,Herefordshire,Group 2
S44,Derbyshire,Group 1
W1K,Greater London,Group 3
TD5,Scottish Borders,Group 1
SE14,Greater London,Group 3
BR4,Kent,Group 3
CM11,Greater London,Group 3
G53,Glasgow City,Group 1
KA7,South Ayrshire,Group 1
DL4,Durham,Group 1
31,Ards,Unallocated
N5,Greater London,Group 3
LD5,Powys,Group 2
SW14,Greater London,Group 3
KW1,Highland,Unallocated
ST13,Staffordshire,Group 2
PO35,Isle of Wight,Group 2
DN21,Lincolnshire,Group 1
SA3,Swansea,Group 2
NE6,Tyne and Wear,Group 1
BS31,Somerset,Group 2
SO41,Hampshire,Group 2
NP8,Monmouthshire,Group 2
LL47,Gwynedd,Group 2
WD7,Hertfordshire,Group 3
SS0,Greater London,Group 3
OX11,Oxfordshire,Group 3
S31,South Yorkshire,Group 1
EX7,Devon,Group 2
SY13,Cheshire,Group 2
DE12,Derbyshire,Group 1
LL69,Isle of Anglesey,Group 2
SO22,Hampshire,Group 2
DL7,North Yorkshire,Group 1
GL18,Gloucestershire,Group 2
RH7,Surrey,Group 3
DT8,Dorset,Group 2
WD19,Hertfordshire,Group 3
WR6,Herefordshire,Group 2
G50,Glasgow City,Group 1
M4,Greater Manchester,Group 2
L71,Merseyside,Group 2
CW9,Cheshire,Group 2
SM4,Greater London,Group 3
W1B,Greater London,Group 3
PL17,Cornwall,Group 2
LU1,Bedfordshire,Group 3
DN19,Lincolnshire,Group 1
M50,Greater Manchester,Group 2
BS29,Somerset,Group 2
HS9,Eilean Siar,Unallocated
LL30,Conwy,Group 2
TD10,Scottish Borders,Group 1
SO14,Hampshire,Group 2
PL1,Devon,Group 2
IG10,Greater London,Group 3
TN38,East Sussex,Group 3
BD98,West Yorkshire,Group 1
LL22,Conwy,Group 2
SW18,Greater London,Group 3
TW9,Greater London,Group 3
SO32,Hampshire,Group 2
BS15,Gloucestershire,Group 2
G20,Glasgow City,Group 1
DG3,Dumfries and Galloway,Group 1
GU32,Hampshire,Group 2
TN13,Kent,Group 3
LL45,Gwynedd,Group 2
L26,Merseyside,Group 2
ka71,Glasgow City,Group 1
13,Ards,Unallocated
HU17,East Riding of Yorkshire,Group 1
NE68,Northumberland,Group 1
DT10,Dorset,Group 2
IG5,Greater London,Group 3
DH8,Durham,Group 1
KA30,North Ayrshire,Group 1
SE27,Greater London,Group 3
UB3,Greater London,Group 3
PL23,Cornwall,Group 2
MK14,Buckinghamshire,Group 3
L16,Merseyside,Group 2
CF32,Bridgend,Group 2
LD4,Powys,Group 2
LE10,Leicestershire,Group 2
G74,South Lanarkshire,Group 1
SN8,Wiltshire,Group 2
OX49,Oxfordshire,Group 3
PE31,Norfolk,Group 1
TN40,East Sussex,Group 3
NE26,Northumberland,Group 1
B92,West Midlands,Group 2
EN11,Greater London,Group 3
S66,South Yorkshire,Group 1
LL39,Gwynedd,Group 2
GU10,Hampshire,Group 2
TN21,East Sussex,Group 3
NG8,Nottinghamshire,Group 1
DT1,Dorset,Group 2
LL60,Isle of Anglesey,Group 2
G22,Glasgow City,Group 1
FY3,Lancashire,Group 1
IP28,Suffolk,Group 3
M25,Lancashire,Group 2
RM9,Greater London,Group 3
PL34,Cornwall,Group 2
PE3,Cambridgeshire,Group 1
GU33,Hampshire,Group 2
NP18,Monmouthshire,Group 2
GU18,Surrey,Group 2
RH2,Surrey,Group 3
M13,Greater Manchester,Group 2
M14,Greater Manchester,Group 2
PH26,Highland,Group 1
SY8,Herefordshire,Group 2
CV36,Warwickshire,Group 2
M46,Greater Manchester,Group 2
OL1,Lancashire,Group 1
LL38,Gwynedd,Group 2
WN4,Lancashire,Group 2
GU6,Surrey,Group 2
S55,South Yorkshire,Group 1
FK2,Falkirk,Group 1
DY8,West Midlands,Group 2
LL27,Conwy,Group 2
SG4,Hertfordshire,Group 3
PH30,Highland,Group 1
LL31,Conwy,Group 2
PH1,Perth and Kinross,Group 1
SN16,Wiltshire,Group 2
OX16,Oxfordshire,Group 3
LA20,Cumbria,Group 1
BA6,Somerset,Group 2
53,Ards,Unallocated
IP6,Suffolk,Group 3
N15,Greater London,Group 3
WF12,West Yorkshire,Group 1
NG32,Leicestershire,Group 1
AB32,Aberdeenshire,Group 1
RH18,East Sussex,Group 3
S75,South Yorkshire,Group 1
DD2,Dundee City,Group 1
NE45,Northumberland,Group 1
FY6,Lancashire,Group 1
IV14,Highland,Group 1
CH60,Merseyside,Group 2
SW15,Greater London,Group 3
IG2,Greater London,Group 3
DH9,Durham,Group 1
EH5,City of Edinburgh,Group 1
EC4Y,Greater London,Group 3
PH20,Highland,Group 1
SW6,Greater London,Group 3
HU10,East Riding of Yorkshire,Group 1
EH45,Scottish Borders,Group 1
IV32,Moray,Group 1
NG6,Nottinghamshire,Group 1
CH34,Cheshire,Group 2
TW10,Surrey,Group 3
WA10,Merseyside,Group 2
S67,South Yorkshire,Group 1
CH4,Cheshire,Group 2
S57,South Yorkshire,Group 1
BH2,Dorset,Group 2
PO22,West Sussex,Group 2
LS3,West Yorkshire,Group 1
PE8,Cambridgeshire,Group 1
ST2,Staffordshire,Group 2
OL5,Greater Manchester,Group 1
ST19,Staffordshire,Group 2
SY16,Powys,Group 2
NE2,Tyne and Wear,Group 1
N21,Greater London,Group 3
B4,West Midlands,Group 2
CH61,Merseyside,Group 2
FK16,Stirling,Group 1
B2,West Midlands,Group 2
JE3,Jersey,Unallocated
DH99,Durham,Group 1
PA8,Renfrewshire,Group 1
LL73,Isle of Anglesey,Group 2
SO16,Hampshire,Group 2
NE15,Northumberland,Group 1
S35,South Yorkshire,Group 1
G24,Glasgow City,Group 1
DY13,Worcestershire,Group 2
G2,Glasgow City,Group 1
NE5,Tyne and Wear,Group 1
BD11,West Yorkshire,Group 1
NG80,Nottinghamshire,Group 1
L17,Merseyside,Group 2
BN9,East Sussex,Group 3
MK13,Buckinghamshire,Group 3
WS2,West Midlands,Group 2
WV15,Shropshire,Group 2
SG3,Hertfordshire,Group 3
M22,Greater Manchester,Group 2
NE21,Tyne and Wear,Group 1
PA41,Argyll and Bute,Group 1
ML7,North Lanarkshire,Group 1
NW10,Greater London,Group 3
IV49,Highland,Group 1
PE27,Cambridgeshire,Group 1
NN6,Northamptonshire,Group 2
PA69,Argyll and Bute,Group 1
BS27,Somerset,Group 2
SE6,Greater London,Group 3
KA27,North Ayrshire,Group 1
IP12,Suffolk,Group 3
SG9,Hertfordshire,Group 3
S70,South Yorkshire,Group 1
CF33,Bridgend,Group 2
DL1,Durham,Group 1
ML11,South Lanarkshire,Group 1
LL35,Gwynedd,Group 2
TW1,Greater London,Group 3
NE70,Northumberland,Group 1
TA10,Somerset,Group 2
LL19,Denbighshire,Group 2
KA25,North Ayrshire,Group 1
LL25,Conwy,Group 2
IP22,Norfolk,Group 3
CT8,Kent,Group 3
WA9,Merseyside,Group 2
BN2,East Sussex,Group 3
Scottish Borders,Scottish Borders,Unallocated
SE19,Greater London,Group 3
NN3,Northamptonshire,Group 2
IV31,Moray,Group 1
NG2,Nottinghamshire,Group 1
WR4,Worcestershire,Group 2
RH19,East Sussex,Group 3
CF45,"Rhondda, Cynon, Taff",Group 2
EH15,City of Edinburgh,Group 1
BT58,Newtownabbey,Unallocated
SA69,Pembrokeshire,Group 2
TW2,Greater London,Group 3
HX2,West Yorkshire,Group 1
IM99,NULL,Unallocated
DE4,Derbyshire,Group 1
B31,West Midlands,Group 2
B30,West Midlands,Group 2
PA6,Renfrewshire,Group 1
WV2,West Midlands,Group 2
KY16,Fife,Group 1
PA10,Renfrewshire,Group 1
CM17,Greater London,Group 3
HG1,North Yorkshire,Group 1
DE74,Leicestershire,Group 1
CH62,Merseyside,Group 2
W7,Greater London,Group 3
WV9,West Midlands,Group 2
L7,Merseyside,Group 2
BA7,Somerset,Group 2
BS28,Somerset,Group 2
BT51,Coleraine,Unallocated
GU29,West Sussex,Group 2
LE6,Leicestershire,Group 2
OX3,Oxfordshire,Group 3
G83,Glasgow City,Group 1
DH1,Durham,Group 1
PE26,Cambridgeshire,Group 1
S39,South Yorkshire,Group 1
SK1,Cheshire,Group 2
EH41,East Lothian,Group 1
PA9,Renfrewshire,Group 1
BB4,Lancashire,Group 1
NR99,Norfolk,Group 3
CM18,Greater London,Group 3
DL8,North Yorkshire,Group 1
PA76,Argyll and Bute,Group 1
IV56,Highland,Group 1
39,Ards,Unallocated
S77,South Yorkshire,Group 1
LL58,Isle of Anglesey,Group 2
DN2,South Yorkshire,Group 1
LE95,Leicestershire,Group 2
DL6,North Yorkshire,Group 1
DG10,Dumfries and Galloway,Group 1
G71,Glasgow City,Group 1
OX20,Oxfordshire,Group 3
ME2,Kent,Group 3
57,Ards,Unallocated
GL12,Gloucestershire,Group 2
EH35,East Lothian,Group 1
KT3,Surrey,Group 2
S8,South Yorkshire,Group 1
SE13,Greater London,Group 3
WS11,Staffordshire,Group 2
LS20,West Yorkshire,Group 1
IV2,Highland,Group 1
L25,Merseyside,Group 2
AL9,Hertfordshire,Group 2
LN2,Lincolnshire,Group 1
NR14,Norfolk,Group 3
BH10,Dorset,Group 2
N6,Greater London,Group 3
BB18,Lancashire,Group 1
BT78,Omagh,Unallocated
BD17,West Yorkshire,Group 1
LE14,Leicestershire,Group 2
ST17,Staffordshire,Group 2
NG4,Nottinghamshire,Group 1
BS98,City of Bristol,Group 2
TN8,Kent,Group 3
DY3,Staffordshire,Group 2
NR35,Norfolk,Group 3
SS1,Greater London,Group 3
NR4,Norfolk,Group 3
BN13,West Sussex,Group 3
TR23,Cornwall,Group 2
BA10,Somerset,Group 2
BN21,East Sussex,Group 3
CF30,"Rhondda, Cynon, Taff",Group 2
KT12,Surrey,Group 2
WV11,West Midlands,Group 2
PL28,Cornwall,Group 2
LL33,Gwynedd,Group 2
CW10,Cheshire,Group 2
AL5,Hertfordshire,Group 2
B79,Staffordshire,Group 2
HU8,East Riding of Yorkshire,Group 1
BS11,City of Bristol,Group 2
CA18,Cumbria,Group 1
PH18,Perth and Kinross,Group 1
KT7,Surrey,Group 2
LS6,West Yorkshire,Group 1
WD18,Hertfordshire,Group 3
DL17,Durham,Group 1
GL6,Gloucestershire,Group 2
HS6,Eilean Siar,Unallocated
S13,South Yorkshire,Group 1
BB1,Lancashire,Group 1
DE15,Derbyshire,Group 1
CV22,Warwickshire,Group 2
SA8,Neath Port Talbot,Group 2
WF9,West Yorkshire,Group 1
N11,Greater London,Group 3
ML8,South Lanarkshire,Group 1
LE94,Leicestershire,Group 2
WV4,Staffordshire,Group 2
L22,Merseyside,Group 2
BT79,Omagh,Unallocated
G46,Glasgow City,Group 1
CW4,Cheshire,Group 2
CB4,Cambridgeshire,Group 3
BT63,Banbridge,Unallocated
TS21,Durham,Group 1
EH31,East Lothian,Group 1
CB7,Cambridgeshire,Group 3
CF44,Powys,Group 2
CR2,Greater London,Group 3
EC2R,Greater London,Group 3
RG18,Berkshire,Group 2
OX26,Oxfordshire,Group 3
AB33,Aberdeenshire,Group 1
BT36,Newtownabbey,Unallocated
LL13,Wrexham,Group 2
CH48,Merseyside,Group 2
YO1,North Yorkshire,Group 1
BN7,East Sussex,Group 3
SR6,Tyne and Wear,Group 1
BD14,West Yorkshire,Group 1
NE38,Durham,Group 1
PR1,Lancashire,Group 1
ST9,Staffordshire,Group 2
CO7,Greater London,Group 3
E1W,Greater London,Group 3
FY0,Lancashire,Group 1
E8,Greater London,Group 3
IV1,Highland,Group 1
S69,South Yorkshire,Group 1
DE55,Derbyshire,Group 1
dg,,Group 1
CV11,Warwickshire,Group 2
PA22,Argyll and Bute,Group 1
S7,South Yorkshire,Group 1
DL16,Durham,Group 1
ZE3,Shetland Islands,Unallocated
IV18,Highland,Group 1
G7,Glasgow City,Group 1
SK14,Greater Manchester,Group 2
DT6,Dorset,Group 2
PA78,Argyll and Bute,Group 1
RH13,West Sussex,Group 3
IV13,Highland,Group 1
EN9,Greater London,Group 3
LN6,Lincolnshire,Group 1
WR7,Worcestershire,Group 2
BN17,West Sussex,Group 3
NG21,Nottinghamshire,Group 1
KA11,North Ayrshire,Group 1
L18,Merseyside,Group 2
BD13,West Yorkshire,Group 1
WF2,West Yorkshire,Group 1
42,Ards,Unallocated
DH3,Durham,Group 1
IV10,Highland,Group 1
MK41,Buckinghamshire,Group 3
B74,Staffordshire,Group 2
GL8,Gloucestershire,Group 2
SK12,Cheshire,Group 2
LN4,Lincolnshire,Group 1
WR78,Worcestershire,Group 2
DG16,Cumbria,Group 1
NE49,Northumberland,Group 1
G|U5,,Group 1
B13,West Midlands,Group 2
DE23,Derbyshire,Group 1
LE1,Leicestershire,Group 2
CV9,Leicestershire,Group 2
OL95,Lancashire,Group 1
TR1,Cornwall,Group 2
S63,South Yorkshire,Group 1
TR16,Cornwall,Group 2
BD22,West Yorkshire,Group 1
AL4,Hertfordshire,Group 2
IV47,Highland,Group 1
EX5,Devon,Group 2
CM98,Greater London,Group 3
DT9,Dorset,Group 2
CF31,Bridgend,Group 2
S11,South Yorkshire,Group 1
L5,Merseyside,Group 2
CH31,Merseyside,Group 2
CM8,Greater London,Group 3
S76,South Yorkshire,Group 1
PA72,Argyll and Bute,Group 1
MK8,Buckinghamshire,Group 3
WF13,West Yorkshire,Group 1
TR3,Cornwall,Group 2
G70,Glasgow City,Group 1
YO51,North Yorkshire,Group 1
SR1,Tyne and Wear,Group 1
KY6,Fife,Group 1
SL5,Berkshire,Group 2
HP4,Buckinghamshire,Group 3
HU2,East Riding of Yorkshire,Group 1
G23,Glasgow City,Group 1
AB35,Aberdeenshire,Group 1
WC1H,Greater London,Group 3
IV54,Highland,Group 1
EH28,City of Edinburgh,Group 1
NG33,Leicestershire,Group 1
204,Aberdeen City,Group 1
L69,Merseyside,Group 2
DL12,Durham,Group 1
CM13,Greater London,Group 3
HR2,Herefordshire,Group 2
HP7,Buckinghamshire,Group 3
BN8,East Sussex,Group 3
YO18,North Yorkshire,Group 1
BA20,Somerset,Group 2
DD3,Dundee City,Group 1
HS5,Eilean Siar,Unallocated
BS3,City of Bristol,Group 2
WC2B,Greater London,Group 3
HA5,Greater London,Group 3
TW3,Greater London,Group 3
NE41,Northumberland,Group 1
G25,Glasgow City,Group 1
SM2,Greater London,Group 3
LA19,Cumbria,Group 1
CB9,Greater London,Group 3
BS6,City of Bristol,Group 2
WS7,Staffordshire,Group 2
BT33,Newry and Mourne,Unallocated
EH44,Scottish Borders,Group 1
NW26,Greater London,Group 3
WD24,Hertfordshire,Group 3
LU3,Bedfordshire,Group 3
LL67,Isle of Anglesey,Group 2
RH6,Surrey,Group 3
PH13,Perth and Kinross,Group 1
WD6,Hertfordshire,Group 3
BA5,Somerset,Group 2
RM2,Greater London,Group 3
DA11,Kent,Group 3
SP5,Dorset,Group 2
DL9,North Yorkshire,Group 1
S73,South Yorkshire,Group 1
RH15,West Sussex,Group 3
EX23,Cornwall,Group 2
TN25,Kent,Group 3
EX18,Devon,Group 2
EH33,East Lothian,Group 1
TR93,Cornwall,Group 2
L68,Merseyside,Group 2
EX20,Devon,Group 2
M1,Greater Manchester,Group 2
NE69,Northumberland,Group 1
TD14,Scottish Borders,Group 1
LA14,Cumbria,Group 1
SN13,Wiltshire,Group 2
SL9,Buckinghamshire,Group 2
M33,Greater Manchester,Group 2
EH36,East Lothian,Group 1
FK18,Stirling,Group 1
SS4,Greater London,Group 3
E9,Greater London,Group 3
SW16,Greater London,Group 3
B65,West Midlands,Group 2
HX3,West Yorkshire,Group 1
DL15,Durham,Group 1
PO31,Isle of Wight,Group 2
BS5,City of Bristol,Group 2
ST14,Staffordshire,Group 2
WS9,West Midlands,Group 2
DL5,Durham,Group 1
EX17,Devon,Group 2
PO3,Hampshire,Group 2
BD5,West Yorkshire,Group 1
MK9,Buckinghamshire,Group 3
RH3,Surrey,Group 3
RH11,West Sussex,Group 3
E6,Greater London,Group 3
TF10,Shropshire,Group 2
BN52,East Sussex,Group 3
CO5,Greater London,Group 3
UB18,Greater London,Group 3
PL35,Cornwall,Group 2
B37,West Midlands,Group 2
KW16,Orkney Islands,Unallocated
PO10,West Sussex,Group 2
KA17,East Ayrshire,Group 1
PO15,Hampshire,Group 2
TA21,Devon,Group 2
BR5,Kent,Group 3
PO8,Hampshire,Group 2
BD19,West Yorkshire,Group 1
PH6,Perth and Kinross,Group 1
CM20,Greater London,Group 3
CF39,Bridgend,Group 2
YO15,East Riding of Yorkshire,Group 1
BH15,Dorset,Group 2
TR14,Cornwall,Group 2
GU47,Hampshire,Group 2
GL17,Gloucestershire,Group 2
S81,Nottinghamshire,Group 1
ML10,South Lanarkshire,Group 1
CA28,Cumbria,Group 1
LE17,Leicestershire,Group 2
CV6,Warwickshire,Group 2
KA23,North Ayrshire,Group 1
LS29,North Yorkshire,Group 1
GU23,Surrey,Group 2
GU31,Hampshire,Group 2
E5,Greater London,Group 3
CW98,Cheshire,Group 2
MK5,Buckinghamshire,Group 3
CH65,Cheshire,Group 2
GL15,Gloucestershire,Group 2
TN33,East Sussex,Group 3
SA12,Neath Port Talbot,Group 2
EH19,Midlothian,Group 1
CF5,Cardiff,Group 2
NR21,Norfolk,Group 3
BT77,Dungannon,Unallocated
LE3,Leicestershire,Group 2
BD7,West Yorkshire,Group 1
B25,West Midlands,Group 2
CR4,Greater London,Group 3
EC1R,Greater London,Group 3
TW6,Greater London,Group 3
CA14,Cumbria,Group 1
NN15,Northamptonshire,Group 2
G18,Glasgow City,Group 1
30,Ards,Unallocated
CA6,Cumbria,Group 1
IP3,Suffolk,Group 3
BT28,Lisburn,Unallocated
WR99,Worcestershire,Group 2
BT18,North Down,Unallocated
PL21,Devon,Group 2
S47,South Yorkshire,Group 1
LD8,Herefordshire,Group 2
TR10,Cornwall,Group 2
LE5,Leicestershire,Group 2
NE43,Northumberland,Group 1
GU17,Hampshire,Group 2
GY2,Guernsey,Unallocated
IV19,Highland,Group 1
HX7,West Yorkshire,Group 1
TN16,Kent,Group 3
OL6,Lancashire,Group 1
SW10,Greater London,Group 3
PO37,Isle of Wight,Group 2
IV6,Highland,Group 1
TN1,Kent,Group 3
DN36,Lincolnshire,Group 1
G64,East Dunbartonshire,Group 1
BA12,Wiltshire,Group 2
GY1,Guernsey,Unallocated
SE3,Greater London,Group 3
DD6,Fife,Group 1
CH45,Merseyside,Group 2
26,Ards,Unallocated
NR28,Norfolk,Group 3
W13,Greater London,Group 3
N3,Greater London,Group 3
EN5,Greater London,Group 3
BD99,West Yorkshire,Group 1
RG14,Berkshire,Group 2
BT62,Craigavon,Unallocated
HP19,Buckinghamshire,Group 3
BT49,Limavady,Unallocated
IV3,Highland,Group 1
SY99,Shropshire,Group 2
CW8,Cheshire,Group 2
KA2,North Ayrshire,Group 1
DN17,Lincolnshire,Group 1
LE65,Leicestershire,Group 2
EH51,Falkirk,Group 1
BA14,Wiltshire,Group 2
IG9,Greater London,Group 3
W1A,Greater London,Group 3
BS8,City of Bristol,Group 2
TW15,Greater London,Group 3
SG1,Hertfordshire,Group 3
S37,South Yorkshire,Group 1
WC1R,Greater London,Group 3
SE1,Greater London,Group 3
N4,Greater London,Group 3
TS7,North Yorkshire,Group 1
TN24,Kent,Group 3
SL2,Buckinghamshire,Group 2
B62,West Midlands,Group 2
SR8,Durham,Group 1
NE83,Tyne and Wear,Group 1
M11,Greater Manchester,Group 2
HP23,Buckinghamshire,Group 3
PA36,Argyll and Bute,Group 1
NE71,Northumberland,Group 1
E14,Greater London,Group 3
PL2,Devon,Group 2
DH5,Durham,Group 1
NE16,Durham,Group 1
SW1X,Greater London,Group 3
PE23,Lincolnshire,Group 1
NE62,Northumberland,Group 1
DN11,South Yorkshire,Group 1
WC2E,Greater London,Group 3
AB11,Aberdeen City,Group 1
M29,Greater Manchester,Group 2
CV12,Warwickshire,Group 2
SK10,Cheshire,Group 2
PL11,Cornwall,Group 2
TA2,Somerset,Group 2
LE2,Leicestershire,Group 2
LN5,Lincolnshire,Group 1
PA49,Argyll and Bute,Group 1
TW15 3PP,,Group 3
PR2,Lancashire,Group 1
CA13,Cumbria,Group 1
NR1,Norfolk,Group 3
TS12,North Yorkshire,Group 1
S54,South Yorkshire,Group 1
SP6,Dorset,Group 2
EN4,Greater London,Group 3
SW19,Greater London,Group 3
BN5,West Sussex,Group 3
BS26,Somerset,Group 2
YO25,East Riding of Yorkshire,Group 1
W4,Greater London,Group 3
ST20,Staffordshire,Group 2
AB56,Moray,Group 1
RM10,Greater London,Group 3
GL19,Gloucestershire,Group 2
TN3,East Sussex,Group 3
ME14,Kent,Group 3
35,Ards,Unallocated
B16,West Midlands,Group 2
NE19,Northumberland,Group 1
SA2,Swansea,Group 2
WR1,,Group 2
SS16,Greater London,Group 3
IV52,Highland,Group 1
NG12,Nottinghamshire,Group 1
HP2,Hertfordshire,Group 3
BS36,Gloucestershire,Group 2
CH44,Merseyside,Group 2
KA12,North Ayrshire,Group 1
B27,West Midlands,Group 2
HG5,North Yorkshire,Group 1
HU9,East Riding of Yorkshire,Group 1
PO36,Isle of Wight,Group 2
S96,South Yorkshire,Group 1
CA3,Cumbria,Group 1
MK43,Buckinghamshire,Group 3
BT67,Craigavon,Unallocated
BR2,Kent,Group 3
NG22,Nottinghamshire,Group 1
SA13,Neath Port Talbot,Group 2
KW2,Highland,Unallocated
HR4,Herefordshire,Group 2
SS5,Greater London,Group 3
BB5,,Group 1
SN14,Gloucestershire,Group 2
TA18,Dorset,Group 2
UB9,Buckinghamshire,Group 3
TQ10,Devon,Group 2
PA47,Argyll and Bute,Group 1
SA48,Carmarthenshire,Group 2
WN8,Lancashire,Group 2
NW3,Greater London,Group 3
AL8,Hertfordshire,Group 2
TR25,Cornwall,Group 2
SO30,Hampshire,Group 2
CF48,Caerphilly,Group 2
TS15,North Yorkshire,Group 1
RG24,Hampshire,Group 2
FK7,Falkirk,Group 1
BH20,Dorset,Group 2
SG12,Hertfordshire,Group 3
TR2,Cornwall,Group 2
LN8,Lincolnshire,Group 1
LA5,Lancashire,Group 1
EX38,Devon,Group 2
PL3,Devon,Group 2
L10,Merseyside,Group 2
M18,Greater Manchester,Group 2
HP8,Hertfordshire,Group 3
PR26,Lancashire,Group 1
